model,year,price,type,distance,fuel,tax,miles per galoon,size
4,2017,10650.0,1,31800.0,2,150,65.7,1.0
11,2018,16698.0,1,3044.0,2,145,39.2,1.5
4,2017,8498.0,1,28479.0,2,0,65.7,1.0
4,2019,16500.0,0,1482.0,2,145,48.7,1.0
4,2018,9498.0,1,30925.0,2,145,65.7,1.0
11,2017,14998.0,1,15978.0,0,30,64.2,1.5
4,2017,11798.0,1,4262.0,2,0,65.7,1.0
11,2019,23998.0,1,7584.0,0,145,39.2,2.0
5,2019,16498.0,1,4930.0,2,145,60.1,1.0
5,2018,10000.0,1,48141.0,2,145,61.4,1.0
4,2019,12698.0,1,12130.0,2,145,56.5,1.0
5,2017,11498.0,2,30917.0,2,125,51.4,1.0
5,2017,17998.0,1,9066.0,2,145,41.5,2.0
5,2017,11298.0,1,24386.0,0,0,74.3,1.5
8,2019,19999.0,1,3500.0,0,145,61.4,1.5
11,2018,18999.0,2,8970.0,0,145,58.9,1.5
5,2016,24995.0,1,7997.0,2,235,36.7,2.3
5,2016,10995.0,1,30923.0,0,0,74.3,1.5
4,2016,8498.0,1,21888.0,2,125,54.3,1.2
1,2016,8498.0,1,41772.0,2,30,55.4,1.0
11,2017,13898.0,1,33026.0,0,145,60.1,2.0
4,2019,12500.0,1,25521.0,2,145,55.4,1.0
4,2019,13895.0,1,13600.0,2,145,58.9,1.0
2,2016,8998.0,1,31736.0,2,125,53.3,1.0
4,2019,14698.0,1,7872.0,2,145,58.9,1.0
4,2016,9998.0,1,16647.0,2,0,65.7,1.0
11,2015,12498.0,1,60151.0,0,145,54.3,2.0
4,2014,6795.0,1,35299.0,2,0,65.7,1.0
11,2018,16995.0,1,34690.0,0,145,60.1,2.0
4,2016,9500.0,0,7350.0,2,0,57.7,1.0
2,2017,8489.0,1,60190.0,2,160,44.8,1.5
5,2017,11998.0,1,7690.0,2,150,60.1,1.0
4,2017,8699.0,1,25000.0,2,125,54.3,1.2
2,2019,15489.0,1,5636.0,0,145,68.9,1.5
2,2018,14698.0,1,6442.0,2,145,54.3,1.0
1,2016,9998.0,1,16984.0,0,20,68.9,1.5
11,2013,9998.0,2,58500.0,0,200,45.6,2.0
2,2018,10498.0,1,59498.0,0,145,68.9,1.5
11,2018,15287.0,2,33149.0,0,145,58.9,1.5
11,2014,11498.0,1,36052.0,0,160,47.9,2.0
1,2016,10995.0,2,26500.0,0,125,58.9,2.0
4,2013,5498.0,1,53545.0,2,30,54.3,1.2
2,2019,15984.0,1,3500.0,2,145,51.4,1.0
4,2016,6998.0,1,34804.0,2,125,54.3,1.2
10,2018,8261.0,1,25000.0,2,145,57.7,1.2
8,2017,13998.0,1,4856.0,0,145,61.4,1.5
12,2015,9995.0,1,30753.0,0,0,78.5,1.5
11,2017,14498.0,1,23356.0,0,145,60.1,2.0
6,2016,17489.0,2,47937.0,0,165,51.4,2.0
4,2018,10491.0,2,43019.0,2,145,48.7,1.0
2,2017,9189.0,1,31998.0,2,145,44.8,1.5
15,2015,10298.0,1,28309.0,0,125,58.9,1.6
4,2016,8798.0,1,19815.0,2,0,65.7,1.0
1,2017,10898.0,1,12626.0,2,30,55.4,1.0
5,2015,7994.0,1,64612.0,0,20,67.3,1.6
4,2016,6395.0,1,31562.0,2,125,54.3,1.2
4,2016,7999.0,1,22633.0,2,0,65.7,1.0
5,2016,11495.0,1,29900.0,0,0,74.3,1.5
7,2015,8998.0,1,28359.0,0,125,60.1,1.6
4,2013,5495.0,1,51271.0,2,30,54.3,1.2
4,2017,8500.0,1,15060.0,2,125,54.3,1.2
5,2018,19995.0,1,10923.0,0,145,67.3,2.0
5,2017,10900.0,1,25459.0,2,145,60.1,1.0
4,2019,17500.0,1,10460.0,2,145,40.3,1.5
4,2015,6700.0,1,28935.0,2,30,54.3,1.2
11,2017,13498.0,1,26597.0,0,145,54.3,2.0
5,2014,7498.0,1,47566.0,2,30,56.5,1.0
4,2019,16998.0,1,12236.0,2,145,55.4,1.0
11,2017,17498.0,1,9940.0,2,145,45.6,1.5
4,2015,10500.0,1,35432.0,2,145,47.9,1.6
5,2018,13698.0,1,13418.0,2,145,58.9,1.0
11,2017,13998.0,0,13265.0,2,240,38.2,1.5
4,2017,10998.0,1,10125.0,2,145,65.7,1.0
4,2013,6498.0,1,41599.0,2,0,65.7,1.0
5,2018,19698.0,1,12011.0,2,145,41.5,2.0
4,2018,11561.0,1,18803.0,2,145,56.5,1.0
4,2019,11998.0,1,17354.0,2,145,56.5,1.0
5,2017,12798.0,1,22153.0,0,145,74.3,1.5
4,2019,18998.0,1,3292.0,2,145,40.3,1.5
2,2017,9298.0,1,18209.0,0,30,64.2,1.5
11,2019,20999.0,0,5500.0,0,145,47.9,2.0
11,2018,14399.0,1,12810.0,0,145,64.2,1.5
4,2017,9895.0,1,19079.0,2,145,65.7,1.0
11,2017,13998.0,1,24504.0,0,150,64.2,1.5
4,2019,13995.0,1,11130.0,2,145,58.9,1.0
4,2015,8298.0,1,15673.0,2,0,65.7,1.0
4,2016,11498.0,1,8560.0,2,0,65.7,1.0
4,2018,9499.0,1,20400.0,2,145,55.4,1.1
5,2018,18298.0,1,21456.0,0,145,67.3,2.0
4,2015,7998.0,1,19212.0,2,0,65.7,1.0
10,2017,7698.0,1,10641.0,2,30,57.7,1.2
11,2017,13698.0,1,41457.0,0,150,54.3,2.0
5,2017,11498.0,1,9148.0,2,145,61.4,1.0
5,2017,18499.0,1,13063.0,2,145,41.5,2.0
4,2018,11995.0,1,32168.0,2,145,65.7,1.0
10,2018,8195.0,1,12231.0,2,145,47.9,1.2
4,2017,9995.0,1,27000.0,0,0,78.5,1.5
4,2019,11898.0,1,3396.0,2,150,48.7,1.1
4,2016,7999.0,1,60730.0,0,0,78.5,1.5
14,2019,22489.0,1,8224.0,0,145,56.5,2.0
4,2016,10498.0,2,29590.0,2,0,57.7,1.0
4,2016,7998.0,1,16070.0,2,125,54.3,1.2
11,2017,17498.0,1,15729.0,0,145,54.3,2.0
11,2015,10998.0,1,17367.0,0,125,60.1,2.0
12,2019,20000.0,1,24.0,0,145,65.7,2.0
16,2017,19995.0,1,14000.0,0,200,44.8,2.0
4,2017,9298.0,1,25491.0,2,0,65.7,1.0
2,2019,15984.0,1,4500.0,2,145,51.4,1.0
11,2017,15498.0,1,38113.0,0,125,60.1,2.0
4,2017,8788.0,1,15612.0,2,145,65.7,1.0
0,2017,11298.0,2,1397.0,2,165,44.1,1.6
7,2018,13495.0,1,1030.0,2,145,47.9,1.0
2,2018,12898.0,1,15267.0,2,145,53.3,1.0
11,2018,19899.0,2,28500.0,0,145,54.3,2.0
4,2018,9489.0,1,35417.0,2,145,64.2,1.1
11,2016,13870.0,2,41607.0,0,145,54.3,2.0
4,2018,10399.0,1,7200.0,2,145,65.7,1.0
4,2017,10498.0,1,50599.0,2,0,65.7,1.0
11,2015,14298.0,1,43717.0,0,145,54.3,2.0
1,2018,12998.0,1,7320.0,2,145,55.4,1.0
4,2018,11489.0,1,19665.0,2,145,60.1,1.0
5,2019,14495.0,1,8131.0,2,145,58.9,1.0
10,2018,7999.0,1,9355.0,2,145,57.7,1.2
11,2018,16995.0,1,32858.0,0,145,54.3,2.0
5,2017,12498.0,2,12244.0,2,125,51.4,1.0
11,2018,16995.0,0,7189.0,0,145,58.9,1.5
4,2016,9998.0,1,18912.0,2,0,65.7,1.0
11,2019,19995.0,1,10171.0,0,145,38.2,2.0
2,2017,9998.0,1,23913.0,2,125,53.3,1.0
13,2019,22500.0,1,2029.0,2,145,50.4,1.0
4,2018,13298.0,1,13756.0,2,145,58.9,1.0
2,2016,9998.0,1,20491.0,2,125,52.3,1.0
5,2017,14998.0,0,17028.0,2,150,46.3,1.5
7,2017,12498.0,1,10373.0,2,145,54.3,1.0
4,2016,8498.0,1,23053.0,2,125,54.3,1.2
2,2018,13500.0,1,12065.0,2,145,54.3,1.0
4,2019,13498.0,1,15822.0,2,145,58.9,1.0
1,2015,8698.0,1,31743.0,2,30,55.4,1.0
11,2013,9198.0,2,48130.0,0,200,45.6,2.0
2,2018,12998.0,1,9796.0,2,145,54.3,1.0
5,2019,14998.0,1,7000.0,2,145,60.1,1.0
11,2019,17999.0,1,10428.0,0,145,38.2,2.0
4,2018,12995.0,1,14979.0,2,145,58.9,1.0
4,2017,11998.0,1,6568.0,2,145,62.8,1.0
5,2017,18498.0,1,14441.0,2,145,41.5,2.0
5,2015,8498.0,1,47219.0,0,0,74.3,1.5
5,2018,19698.0,1,16548.0,2,145,41.5,2.0
4,2017,10500.0,1,24926.0,2,145,65.7,1.0
2,2016,9199.0,1,26445.0,0,30,64.2,1.5
4,2018,12495.0,1,12426.0,2,145,65.7,1.0
2,2018,12498.0,1,10222.0,2,145,54.3,1.0
5,2017,13998.0,2,4735.0,2,125,51.4,1.0
4,2017,10998.0,1,13548.0,2,0,65.7,1.0
1,2018,11799.0,1,23800.0,0,145,68.9,1.5
5,2018,11999.0,1,6691.0,2,145,61.4,1.0
11,2019,19995.0,1,11312.0,0,145,47.9,2.0
4,2017,8498.0,1,32538.0,2,0,65.7,1.0
4,2019,11498.0,1,15766.0,2,145,58.9,1.0
4,2017,8991.0,1,18561.0,2,145,54.3,1.2
14,2019,22489.0,1,4000.0,0,145,56.5,2.0
5,2018,14495.0,1,17030.0,2,145,57.7,1.0
5,2018,10998.0,1,26648.0,2,145,61.4,1.0
4,2018,9998.0,1,7892.0,2,145,65.7,1.0
4,2017,9598.0,1,14403.0,2,145,64.2,1.1
2,2020,20000.0,1,558.0,2,145,53.3,1.0
11,2017,15298.0,1,34673.0,0,125,60.1,2.0
1,2013,8295.0,1,34783.0,0,30,61.4,1.6
4,2014,7298.0,1,31359.0,2,0,65.7,1.0
2,2019,15984.0,1,4000.0,2,145,51.4,1.0
4,2018,9949.0,1,27399.0,2,145,64.2,1.1
4,2018,12251.0,1,8920.0,2,145,58.9,1.0
5,2017,13398.0,0,21649.0,2,145,46.3,1.5
1,2017,12995.0,1,7817.0,2,145,55.4,1.0
0,2017,7998.0,1,41294.0,0,0,74.4,1.5
4,2014,4699.0,1,66207.06780999148,2,30,54.3,1.2
4,2019,13949.0,2,11982.0,2,145,48.7,1.0
5,2017,14960.0,1,23554.0,2,145,41.5,2.0
3,2017,23899.0,0,27146.0,0,145,47.9,2.0
5,2018,11298.0,2,37880.0,0,150,74.3,1.5
5,2018,15798.0,1,4534.0,2,145,58.9,1.0
1,2019,13498.0,1,23394.0,2,145,48.7,1.0
11,2018,15699.0,1,17500.0,0,150,64.2,1.5
11,2013,7999.0,1,66207.06780999148,0,200,47.9,2.0
4,2018,11995.0,1,31593.0,2,145,65.7,1.0
4,2018,12498.0,1,17918.0,2,145,65.7,1.0
11,2018,16495.0,1,29428.0,0,145,54.3,1.5
5,2019,15995.0,1,6992.0,2,145,60.1,1.0
5,2016,10995.0,1,30923.0,0,0,74.3,1.5
4,2018,12998.0,1,9901.0,2,150,65.7,1.0
4,2017,9000.0,1,13054.0,2,145,54.3,1.2
11,2015,14398.0,1,25175.0,0,145,54.3,2.0
15,2017,10998.0,1,16310.0,2,125,50.4,1.0
4,2017,8998.0,1,12753.0,2,145,54.3,1.2
4,2013,4998.0,1,66207.06780999148,2,0,65.7,1.0
5,2016,16998.0,1,17589.0,2,200,41.5,2.0
4,2017,11000.0,1,20978.0,2,0,65.7,1.0
4,2019,13498.0,1,10557.0,2,145,58.9,1.0
11,2019,19495.0,1,13673.0,0,145,47.9,2.0
11,2015,14498.0,1,27513.0,0,145,54.3,2.0
4,2018,14498.0,1,9428.0,2,145,62.8,1.0
5,2019,14998.0,1,7000.0,2,145,58.9,1.0
11,2018,16899.0,1,14680.0,0,145,54.3,2.0
15,2015,9295.0,1,47904.0,0,125,56.5,1.6
15,2016,8998.0,1,42960.0,0,30,61.4,1.5
5,2018,13998.0,1,13401.0,2,145,60.1,1.0
5,2018,12998.0,1,16081.0,2,150,57.7,1.0
5,2017,10498.0,1,49485.0,0,0,74.3,1.5
4,2017,8995.0,1,26163.0,2,145,65.7,1.0
1,2017,10489.0,1,26445.0,0,20,68.9,1.5
10,2017,7995.0,1,12872.0,2,145,57.7,1.2
4,2017,9998.0,1,28519.0,2,20,62.8,1.0
2,2016,9498.0,1,24045.0,2,125,53.3,1.0
12,2019,22998.0,0,7337.0,1,140,47.1,2.0
4,2015,8299.0,1,25935.0,2,0,65.7,1.0
8,2018,15990.0,0,9486.0,0,145,56.6,1.5
4,2017,8995.0,1,31559.0,2,145,65.7,1.0
5,2017,17998.0,1,19525.0,2,145,41.5,2.0
11,2016,13498.0,1,36345.0,0,150,54.3,2.0
4,2019,13298.0,1,7349.0,2,145,58.9,1.0
5,2019,18990.0,1,8400.0,2,145,60.1,1.0
4,2015,5998.0,1,55898.0,0,0,78.5,1.5
5,2016,8995.0,1,22493.0,2,20,60.1,1.0
4,2017,10998.0,1,19140.0,2,145,62.8,1.0
4,2017,11990.0,1,24725.0,2,145,47.9,1.6
5,2019,16998.0,1,20647.0,2,145,60.1,1.0
11,2019,21378.0,1,3259.0,0,145,39.2,2.0
3,2018,19498.0,1,22068.0,0,145,48.7,2.0
5,2015,7995.0,1,56655.0,0,20,67.3,1.6
5,2016,8498.0,1,51656.0,0,0,74.3,1.5
2,2019,13998.0,1,4889.0,0,145,68.9,1.5
1,2018,12998.0,1,2455.0,0,145,68.9,1.5
11,2017,16320.0,1,24803.0,0,145,60.1,2.0
5,2017,17798.0,1,10345.0,2,145,41.5,2.0
5,2018,12995.0,1,9781.0,2,145,60.1,1.0
1,2018,12198.0,1,7993.0,2,145,49.6,1.0
2,2017,9949.0,1,23000.0,2,125,53.3,1.0
4,2018,10990.0,1,28138.0,2,145,56.5,1.0
4,2019,13540.0,1,6923.0,2,145,58.9,1.0
4,2013,5330.0,1,66207.06780999148,2,30,54.3,1.2
11,2016,10698.0,1,56888.0,0,125,60.1,2.0
4,2017,10298.0,1,9148.0,2,145,65.7,1.0
1,2017,9998.0,1,12932.0,0,20,68.9,1.5
5,2020,19998.0,1,4000.0,0,145,74.3,1.5
14,2017,18495.0,0,39605.0,0,145,54.3,2.0
5,2016,9699.0,1,13480.0,2,20,60.1,1.0
5,2015,10995.0,1,13791.0,2,125,51.4,1.5
14,2020,25706.39771758323,2,4623.0,0,145,43.5,2.0
11,2018,17998.0,1,12162.0,2,145,39.2,1.5
4,2017,11495.0,1,17766.0,2,145,65.7,1.0
2,2019,18995.0,1,2291.0,2,145,52.3,1.0
5,2016,10998.0,2,15006.0,2,125,51.4,1.0
11,2019,25500.0,0,6894.0,0,145,42.2,2.0
4,2017,8998.0,1,21267.0,2,145,64.2,1.1
5,2017,17698.0,1,14557.0,2,145,41.5,2.0
5,2016,13998.0,1,24895.0,0,20,67.3,2.0
1,2017,11498.0,1,12982.0,2,30,55.4,1.0
5,2019,14998.0,1,7000.0,2,145,58.9,1.0
11,2018,17999.0,2,9002.0,0,145,54.3,2.0
5,2016,9698.0,1,20786.0,2,20,61.4,1.0
4,2018,9995.0,1,25776.0,2,145,65.7,1.0
5,2017,14998.0,1,32511.0,2,150,41.5,2.0
6,2016,18498.0,1,30528.0,0,125,56.5,2.0
2,2019,13998.0,1,5000.0,0,145,68.9,1.5
4,2017,10999.0,1,12427.0,2,20,62.8,1.0
4,2016,8495.0,1,24410.0,2,125,54.3,1.2
11,2018,16698.0,1,5117.0,0,145,54.3,1.5
4,2019,12798.0,1,10567.0,2,145,58.9,1.0
5,2019,16998.0,1,10476.0,2,145,60.1,1.0
12,2017,17498.0,2,14569.0,0,145,53.3,2.0
11,2014,8995.0,1,59000.0,0,160,47.9,2.0
2,2018,11489.0,1,2922.0,0,145,64.2,1.5
13,2020,21995.0,1,4111.0,2,145,50.4,1.0
11,2017,13998.0,1,51772.0,0,125,60.1,2.0
2,2019,15984.0,1,6500.0,2,145,51.4,1.0
4,2015,8498.0,1,6649.0,2,125,54.3,1.2
4,2018,12499.0,1,8700.0,2,145,58.9,1.0
5,2019,16998.0,0,8703.0,2,145,40.9,1.5
10,2017,8295.0,1,23000.0,2,145,57.7,1.2
2,2018,14498.0,1,11922.0,2,145,54.3,1.0
5,2016,8998.0,1,43623.0,2,20,61.4,1.0
1,2016,9698.0,1,36860.0,0,20,68.9,1.5
4,2013,7236.0,1,39090.0,2,0,65.7,1.0
5,2017,10998.0,1,28001.0,2,145,60.1,1.0
5,2016,15995.0,1,29600.0,0,20,67.3,2.0
5,2016,9998.0,1,26399.0,0,0,74.3,1.5
5,2019,16899.0,1,7000.0,0,145,80.7,1.5
4,2019,13498.0,1,13351.0,2,145,58.9,1.0
4,2018,9814.0,1,15100.0,2,145,65.7,1.0
5,2019,16998.0,1,19936.0,2,145,60.1,1.0
11,2019,19995.0,1,16000.0,0,150,47.9,2.0
11,2016,17698.0,2,11221.0,0,145,54.3,2.0
11,2017,17994.0,1,20633.0,0,150,54.3,2.0
3,2016,20799.0,0,52000.0,0,200,47.9,2.0
4,2019,13140.0,1,7.0,2,145,48.7,1.1
11,2018,14998.0,1,14960.0,0,145,64.2,1.5
2,2018,12998.0,1,17241.0,2,145,54.3,1.0
2,2017,9698.0,1,30207.0,2,145,53.3,1.0
1,2017,11498.0,1,9995.0,2,145,55.4,1.0
11,2017,13489.0,1,34805.0,0,145,54.3,2.0
5,2019,17970.0,1,10985.0,0,145,74.3,1.5
2,2019,15985.0,1,5099.0,2,145,51.4,1.0
5,2018,15995.0,1,10500.0,2,145,60.1,1.0
9,2014,4898.0,1,22609.0,2,30,57.7,1.2
5,2019,18998.0,0,22246.0,0,150,64.2,2.0
5,2020,19489.0,1,5000.0,0,145,74.3,1.5
5,2019,17995.0,1,11496.0,0,145,57.6,2.0
11,2019,20495.0,1,12034.0,0,145,47.9,2.0
2,2017,9298.0,1,16770.0,2,145,44.8,1.5
0,2014,7498.0,2,33023.0,2,160,44.1,1.6
4,2019,14698.0,1,8725.0,2,145,58.9,1.0
5,2017,11995.0,1,23469.0,2,125,51.4,1.5
5,2017,15500.0,1,19593.0,2,145,41.5,2.0
